Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,,,,
3-Oct-2022,52225-004,Promoting Economic Diversification Program - Subprogram 3,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPF,Sovereign,,Programmatic Approach Policy-Based Lending (Loan),Grant,0853,ADB funds,ADF,,Public sector management,"Agriculture, natural resources and rural development",Dual-use,Low,0.800,0.800,Investment,USD,https://www.adb.org/projects/52225-004/main,,,,,,,
13-Dec-2022,52260-001,"Capacity Building for Structural Transformation, Country Programming, and Portfolio Management",PAK,Pakistan,Central and West Asia,CWRD,PRM,Sovereign,0.300,KSTA,Technical assistance,9676,ADB funds,Technical Assistance Special Fund,0.300,Public sector management,Public sector management,Dual-use,Low,0.090,0.210,Technical assistance,USD,https://www.adb.org/projects/52260-001/main,,,,,,,
17-Dec-2022,52312-005,Supporting Development of Innovative Green Housing Finance,KAZ,Kazakhstan,Central and West Asia,CWRD,CWPF,Sovereign,0.813,KSTA,Technical assistance,6999,ADB funds,Financial Sector Development Partnership Special Fund,0.263,Finance,Finance,Dual-use,High,0.230,0.033,Technical assistance,USD,https://www.adb.org/projects/52312-005/main,,,,,,,
17-Dec-2022,52312-005,Supporting Development of Innovative Green Housing Finance,KAZ,Kazakhstan,Central and West Asia,CWRD,CWPF,Sovereign,,KSTA,Technical assistance,6999,ADB funds,Technical Assistance Special Fund,0.550,Finance,Finance,Dual-use,High,0.481,0.069,Technical assistance,USD,https://www.adb.org/projects/52312-005/main,,,,,,,
3-Nov-2022,53120-001,Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,195.650,Sector loan,Loan,4207,ADB funds,Concessional OCR,150.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,51.000,Investment,USD,https://www.adb.org/projects/53120-001/main,,,,,,,
3-Nov-2022,53120-001,Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,Sector loan,Grant,0842,ADB funds,ADF,3.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,3.000,Investment,USD,https://www.adb.org/projects/53120-001/main,,,,,,,
3-Nov-2022,53120-001,Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,Sector loan,Grant,0843,Cofinancing (Full administration),High Level Technology Fund,0.300,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,0.300,Investment,USD,https://www.adb.org/projects/53120-001/main,,,,,,,
29-Sep-2022,53120-001,National Water Resources Management and Irrigation Strategy Implementation (attached TA to Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project),UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,TRTA,Technical assistance,6949,ADB funds,Technical Assistance Special Fund,0.850,"Agriculture, natural resources and rural development",,Adaptation,High,,,Technical assistance,USD,https://www.adb.org/projects/53120-001/main,,,,,,,
22-Apr-2022,53120-002,Preparing the Climate Adaptive Water Resources Management in the Aral Sea Basin Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,0.300,TRTA,Technical assistance,9782,ADB funds,Technical Assistance Special Fund,0.300,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,0.300,Technical assistance,USD,https://www.adb.org/projects/53120-002/main,,,,,,,
25-Mar-2022,53312-001,National Road Development Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,337.080,Project loan,Loan,4174,ADB funds,OCR,273.850,Transport,Transport,Dual-use,Medium,0.768,16.992,Investment,USD,https://www.adb.org/projects/53312-001/main,,,,,,,
22-Feb-2022,53312-001,Preparing and Implementing Gender-Inclusive Projects in Central and West Asia Subproject 7: Promoting Growth of Women's Enterprises in the Surkhandarya Region (attached TA to the National Road Development Project),UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,,TRTA,Technical assistance,6908,ADB funds,Technical Assistance Special Fund,0.150,Transport,Transport,Dual-use,Medium,,,Technical assistance,USD,https://www.adb.org/projects/53312-001/main,,,,,,,
4-Nov-2022,54005-003,Road Network Sustainability Project (Additional Financing),TAJ,Tajikistan,Central and West Asia,CWRD,CWTC,Sovereign,52.470,Project grant,Grant,0859,ADB funds,ADF,43.200,Transport,Transport,Dual-use,Medium,0.560,1.723,Investment,USD,https://www.adb.org/projects/54005-003/main,,,,,,,
27-Dec-2022,54103-001,Developing the Central Asia Regional Economic Cooperation Water Pillar,TKM; REG (Central and West Asia); KAZ; KGZ; TAJ; UZB,Turkmenistan; Regional; Kazakhstan; Kyrgyz Republic; Tajikistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,0.415,KSTA,Technical assistance,9977,ADB funds,Technical Assistance Special Fund,0.100,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,0.100,Technical assistance,USD,https://www.adb.org/projects/54103-001/main,,,,,,,
3-Jun-2022,54103-001,Developing the Central Asia Regional Economic Cooperation Water Pillar,TKM; REG (Central and West Asia); KAZ; KGZ; TAJ; UZB,Turkmenistan; Regional; Kazakhstan; Kyrgyz Republic; Tajikistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,,Technical assistance,9977,ADB funds,Regional Cooperation and Integration Fund,0.315,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,0.315,Technical assistance,USD,https://www.adb.org/projects/54103-001/main,,,,,,,
21-Nov-2022,54271-002,Fiscal Resilience and Social Protection Support Program (Subprogram 2),GEO,Georgia,Central and West Asia,CWRD,CWPF,Sovereign,100.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4246,ADB funds,OCR,104.148,Public sector management,Public sector management,Dual-use,Low,2.080,14.610,Investment,USD,https://www.adb.org/projects/54271-002/main,,,,,,,
4-Nov-2022,54297-001,Khyber Pakhtunkhwa Health Systems Strengthening Program,PAK,Pakistan,Central and West Asia,CWRD,CWSS,Sovereign,417.600,Results Based Lending,Loan,4222,ADB funds,Concessional OCR,100.000,Health,Health,Mitigation,Low,5.300,,Investment,USD,https://www.adb.org/projects/54297-001/main,,,,,,,
28-Oct-2022,54448-002,Preparing Energy Storage and Green Hydrogen Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWEN,Sovereign,1.775,TRTA,Technical assistance,6966,ADB funds,Technical Assistance Special Fund,0.775,Energy,Energy,Mitigation,Low,0.775,,Technical assistance,USD,https://www.adb.org/projects/54448-002/main,,,,,,,
28-Oct-2022,54448-002,Preparing Energy Storage and Green Hydrogen Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWEN,Sovereign,,TRTA,Technical assistance,6966,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),0.500,Energy,Energy,Mitigation,Low,0.500,,Technical assistance,USD,https://www.adb.org/projects/54448-002/main,,,,,,,
28-Oct-2022,54448-002,Preparing Energy Storage and Green Hydrogen Sector Development Program,GEO,Georgia,Central and West Asia,CWRD,CWEN,Sovereign,,TRTA,Technical assistance,6966,Cofinancing (Full administration),Republic of Korea e-Asia and Knowledge Partnership Fund,0.500,Energy,Energy,Mitigation,Low,0.500,,Technical assistance,USD,https://www.adb.org/projects/54448-002/main,,,,,,,
17-Nov-2022,55103-001,Fiscal Sustainability and Financial Markets Development Program (Subprogram 1),ARM,Armenia,Central and West Asia,CWRD,CWPF,Sovereign,200.000,Programmatic Approach Policy-Based Lending (Loan),Loan,4250,ADB funds,OCR,100.000,Finance,Public sector management,Dual-use,Low,5.000,11.100,Investment,USD,https://www.adb.org/projects/55103-001/main,,,,,,,
17-Nov-2022,55103-001,Fiscal Sustainability and Financial Markets Development Program (Subprogram 1),ARM,Armenia,Central and West Asia,CWRD,CWPF,Sovereign,,Programmatic Approach Policy-Based Lending (Loan),Loan,4250,ADB funds,OCR,,Finance,Finance,Dual-use,Low,5.000,11.100,Investment,USD,https://www.adb.org/projects/55103-001/main,,,,,,,
7-Dec-2022,55131-001,Strengthening Regional Health Security Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWSS,Sovereign,35.000,Project loan,Loan,4212,ADB funds,Concessional OCR,10.000,Health,Health,Dual-use,Low,0.120,0.100,Investment,USD,https://www.adb.org/projects/55131-001/main,,,,,,,
7-Dec-2022,55131-001,Strengthening Regional Health Security Project,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWSS,Sovereign,,Project loan,Grant,0847,ADB funds,ADF,20.000,Health,Health,Dual-use,Low,0.540,0.450,Investment,USD,https://www.adb.org/projects/55131-001/main,,,,,,,
31-Aug-2022,55248-001,Zarafshan Wind Power Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,20.000,Partial Credit Guarantee with Govt Guarantee,Credit Enhancement,4200,ADB funds,OCR,19.463,Energy,Energy,Mitigation,Low,19.463,,Investment,USD,https://www.adb.org/projects/55248-001/main,,,,,,,
28-Oct-2022,55332-001,Viability Assessment for Potential Wind Power Electricity Generation Projects,ARM,Armenia,Central and West Asia,CWRD,CWEN,Sovereign,1.000,KSTA,Technical assistance,6959,Cofinancing (Full administration),Clean Energy Financing Partnership Facility (Clean Energy Fund),1.000,Energy,Energy,Mitigation,Low,1.000,,Technical assistance,USD,https://www.adb.org/projects/55332-001/main,,,,,,,
27-Sep-2022,56006-002,Preparing the Improved Domestic Resource Mobilization Reform Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,0.950,TRTA,Technical assistance,6938,ADB funds,Technical Assistance Special Fund,0.950,Public sector management,Public sector management,Dual-use,Medium,0.050,0.050,Technical assistance,USD,https://www.adb.org/projects/56006-002/main,,,,,,,
26-Jul-2022,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; REG; TAJ; TKM; UZB,Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Regional (Central and West Asia); Tajikistan; Turkmenistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,3.000,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,3.000,"Agriculture, natural resources and rural development",Public sector management,Dual-use,Low,0.188,0.188,Technical assistance,USD,https://www.adb.org/projects/56025-001/main,,,,,,,
26-Jul-2022,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; REG; TAJ; TKM; UZB,Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Regional (Central and West Asia); Tajikistan; Turkmenistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Health,Dual-use,Low,0.188,0.188,Technical assistance,USD,https://www.adb.org/projects/56025-001/main,,,,,,,
26-Jul-2022,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; REG; TAJ; TKM; UZB,Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Regional (Central and West Asia); Tajikistan; Turkmenistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Low,0.188,0.188,Technical assistance,USD,https://www.adb.org/projects/56025-001/main,,,,,,,
26-Jul-2022,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; REG; TAJ; TKM; UZB,Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Regional (Central and West Asia); Tajikistan; Turkmenistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Education,Dual-use,Low,0.188,0.188,Technical assistance,USD,https://www.adb.org/projects/56025-001/main,,,,,,,
26-Jul-2022,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; REG; TAJ; TKM; UZB,Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Regional (Central and West Asia); Tajikistan; Turkmenistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Transport,Dual-use,Low,0.188,0.188,Technical assistance,USD,https://www.adb.org/projects/56025-001/main,,,,,,,
26-Jul-2022,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; REG; TAJ; TKM; UZB,Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Regional (Central and West Asia); Tajikistan; Turkmenistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Energy,Dual-use,Low,0.188,0.188,Technical assistance,USD,https://www.adb.org/projects/56025-001/main,,,,,,,
26-Jul-2022,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; REG; TAJ; TKM; UZB,Armenia; Azerbaijan; Georgia; Kazakhstan; Kyrgyz Republic; Pakistan; Regional (Central and West Asia); Tajikistan; Turkmenistan; Uzbekistan,Central and West Asia,CWRD,CWER,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,0.375,0.375,Technical assistance,USD,https://www.adb.org/projects/56025-001/main,,,,,,,
13-Dec-2022,56117-001,Enabling Green Recovery in Central and West Asia through a Sustainable Financing Program,ARM; KAZ; PAK; REG; UZB,Armenia; Kazakhstan; Pakistan; Regional (Central and West Asia); Uzbekistan,Central and West Asia,CWRD,CWOD,Sovereign,1.925,KSTA,Technical assistance,10042,ADB funds,Technical Assistance Special Fund,1.800,Finance,Finance,Dual-use,Low,0.900,0.900,Technical assistance,USD,https://www.adb.org/projects/56117-001/main,,,,,,,
13-Dec-2022,56117-001,Enabling Green Recovery in Central and West Asia through a Sustainable Financing Program,ARM; KAZ; PAK; REG; UZB,Armenia; Kazakhstan; Pakistan; Regional (Central and West Asia); Uzbekistan,Central and West Asia,CWRD,CWOD,Sovereign,,,Technical assistance,10042,ADB funds,Financial Sector Development Partnership Special Fund,0.125,Finance,Finance,Dual-use,Low,0.063,0.063,Technical assistance,USD,https://www.adb.org/projects/56117-001/main,,,,,,,
4-Nov-2022,56147-001,Building Resilience with Active Countercyclical Expenditures Program,TAJ,Tajikistan,Central and West Asia,CWRD,CWPF,Sovereign,50.400,Countercyclical Support Facility Lending (Loan),Grant,0857,ADB funds,ADF,50.000,Public sector management,Public sector management,Adaptation,Low,,1.000,Investment,USD,https://www.adb.org/projects/56147-001/main,,,,,,,
15-Nov-2022,56147-001,Preparing the Building Resilience with Active Countercyclical Expenditures Program (attached TA to Building Resilience with Active Countercyclical Expenditures Program),TAJ,Tajikistan,Central and West Asia,CWRD,CWPF,Sovereign,,TRTA,Technical assistance,6975,ADB funds,Technical Assistance Special Fund,0.400,Public sector management,,Adaptation,Low,,,Technical assistance,USD,https://www.adb.org/projects/56147-001/main,,,,,,,
24-Oct-2022,56148-001,Building Resilience with Active Countercyclical Expenditures Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,"1,500.000",Countercyclical Support Facility Lending (Loan),Loan,4234,ADB funds,OCR,"1,250.000",Public sector management,Public sector management,Adaptation,Low,,268.000,Investment,USD,https://www.adb.org/projects/56148-001/main,,,,,,,
24-Oct-2022,56148-001,Building Resilience with Active Countercyclical Expenditures Program,PAK,Pakistan,Central and West Asia,CWRD,CWPF,Sovereign,,Countercyclical Support Facility Lending (Loan),Loan,4235,ADB funds,Concessional OCR,250.000,Public sector management,Public sector management,Adaptation,Low,,,Investment,USD,https://www.adb.org/projects/56148-001/main,,,,,,,
11-Nov-2022,56150-001,Building Resilience with Active Countercyclical Expenditures Program,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPF,Sovereign,50.400,Countercyclical Support Facility Lending (Loan),Loan,4241,ADB funds,Concessional OCR,25.000,Public sector management,Public sector management,Dual-use,Low,0.625,1.225,Investment,USD,https://www.adb.org/projects/56150-001/main,,,,,,,
11-Nov-2022,56150-001,Building Resilience with Active Countercyclical Expenditures Program,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPF,Sovereign,,Countercyclical Support Facility Lending (Loan),Grant,0860,ADB funds,ADF,25.000,Public sector management,Public sector management,Dual-use,Low,0.625,1.225,Investment,USD,https://www.adb.org/projects/56150-001/main,,,,,,,
2-Dec-2022,56150-001,Supporting the Building Resilience with Active Countercyclical Expenditures Program (attached TA to Building Resilience with Active Countercyclical Expenditures Program),KGZ,Kyrgyz Republic,Central and West Asia,CWRD,CWPF,Sovereign,,TRTA,Technical assistance,6984,ADB funds,Technical Assistance Special Fund,0.400,Public sector management,,Dual-use,Low,,,Technical assistance,USD,https://www.adb.org/projects/56150-001/main,,,,,,,
15-Dec-2022,56312-001,Emergency Flood Assistance Project,PAK,Pakistan,Central and West Asia,CWRD,CWTC,Sovereign,534.050,Emergency Assistance Loan,Loan,4279,ADB funds,Concessional OCR,475.000,Transport,Transport,Adaptation,High,,110.800,Investment,USD,https://www.adb.org/projects/56312-001/main,,,,,,,
15-Dec-2022,56312-001,Emergency Flood Assistance Project,PAK,Pakistan,Central and West Asia,CWRD,CWTC,Sovereign,,Emergency Assistance Loan,Loan,4279,ADB funds,Concessional OCR,,Transport,"Agriculture, natural resources and rural development",Adaptation,High,,126.700,Investment,USD,https://www.adb.org/projects/56312-001/main,,,,,,,
22-Dec-2022,56312-001,Emergency Flood Assistance Project,PAK,Pakistan,Central and West Asia,CWRD,CWTC,Sovereign,,TRTA,Technical assistance,10036,ADB funds,Technical Assistance Special Fund,3.050,Transport,,Adaptation,High,,,Technical assistance,USD,https://www.adb.org/projects/56312-001/main,,,,,,,
28-Dec-2022,56314-001,Opportunities to Accelerate Coal to Clean Power Transition in Kazakhstan,KAZ,Kazakhstan,Central and West Asia,CWRD,CWEN,Sovereign,0.225,KSTA,Technical assistance,10085,ADB funds,Technical Assistance Special Fund,0.225,Energy,Energy,Mitigation,Low,0.225,,Technical assistance,USD,https://www.adb.org/projects/56314-001/main,,,,,,,
19-Dec-2022,CCFADC00059,Vulnerability assessment and adaptation planning for the urban sector as input to the ongoing National Adaptation Plan development process in Kyrgyz Republic,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,KYRM,Sovereign,0.205,Direct charge,Other,CCFADC00059,ADB funds,Climate Change Fund,0.205,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,,,0.205,Direct Charge,USD,,,,,,,,
20-Dec-2022,CCFADC00060,Vulnerability assessment and adaptation planning for the energy sector as input to the ongoing National Adaptation Plan development process in Kyrgyz Republic,KGZ,Kyrgyz Republic,Central and West Asia,CWRD,KYRM,Sovereign,0.205,Direct charge,Other,CCFADC00060,ADB funds,Climate Change Fund,0.205,Energy,Energy,Adaptation,,,0.205,Direct Charge,USD,,,,,,,,
3-Aug-2022,56206-001,Mainstreaming Knowledge Exchange in Asia and the Pacific,REG,Regional,Regional,DOC,DCKD,Sovereign,0.200,KSTA,Technical assistance,6937,ADB funds,Technical Assistance Special Fund,0.200,Public sector management,Public sector management,Dual-use,Low,0.023,0.023,Technical assistance,USD,https://www.adb.org/projects/56206-001/main,,,,,,,
3-Aug-2022,56206-001,Mainstreaming Knowledge Exchange in Asia and the Pacific,REG,Regional,Regional,DOC,DCKD,Sovereign,,KSTA,Technical assistance,6937,ADB funds,Technical Assistance Special Fund,,Public sector management,Education,Dual-use,Low,0.020,0.020,Technical assistance,USD,https://www.adb.org/projects/56206-001/main,,,,,,,
3-Aug-2022,56206-001,Mainstreaming Knowledge Exchange in Asia and the Pacific,REG,Regional,Regional,DOC,DCKD,Sovereign,,KSTA,Technical assistance,6937,ADB funds,Technical Assistance Special Fund,,Public sector management,Energy,Dual-use,Low,0.040,,Technical assistance,USD,https://www.adb.org/projects/56206-001/main,,,,,,,
3-Aug-2022,56206-001,Mainstreaming Knowledge Exchange in Asia and the Pacific,REG,Regional,Regional,DOC,DCKD,Sovereign,,KSTA,Technical assistance,6937,ADB funds,Technical Assistance Special Fund,,Public sector management,Transport,Dual-use,Low,0.035,,Technical assistance,USD,https://www.adb.org/projects/56206-001/main,,,,,,,
3-Aug-2022,56206-001,Mainstreaming Knowledge Exchange in Asia and the Pacific,REG,Regional,Regional,DOC,DCKD,Sovereign,,KSTA,Technical assistance,6937,ADB funds,Technical Assistance Special Fund,,Public sector management,Industry and trade,Dual-use,Low,0.040,,Technical assistance,USD,https://www.adb.org/projects/56206-001/main,,,,,,,
30-Mar-2022,51194-004,Shandong Green Development Fund Project (Additional Financing),PRC,People's Republic of China,East Asia,EARD,EAPF,Sovereign,100.000,Project loan,Loan,8385,Cofinancing (Full administration),Green Climate Fund,100.000,Finance,Finance,Dual-use,High,75.000,25.000,Investment,USD,https://www.adb.org/projects/51194-004/main,,,,,,,
7-Nov-2022,51422-002,Sustainable Tourism Development Project (Phase 2),MON,Mongolia,East Asia,EARD,EAER,Sovereign,32.300,Project loan,Loan,4131,ADB funds,OCR,30.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,2.000,0.200,Investment,USD,https://www.adb.org/projects/51422-002/main,,,,,,,
7-Nov-2022,51422-002,Sustainable Tourism Development Project (Phase 2),MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Project loan,Loan,4131,ADB funds,OCR,,"Agriculture, natural resources and rural development",Industry and trade,Dual-use,Medium,2.890,0.300,Investment,USD,https://www.adb.org/projects/51422-002/main,,,,,,,
7-Nov-2022,51422-002,Sustainable Tourism Development Project (Phase 2),MON,Mongolia,East Asia,EARD,EAER,Sovereign,,Project loan,Grant,9224,Cofinancing (Full administration),Japan Fund for Poverty Reduction,2.000,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,,,Investment,USD,https://www.adb.org/projects/51422-002/main,,,,,,,
19-Dec-2022,51425-002,Silk Road Ecological Rehabilitation and Protection Project,PRC,People's Republic of China,East Asia,EARD,EAER,Sovereign,327.229,Project loan,Loan,4210,ADB funds,OCR,209.616,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,95.140,42.810,Investment,USD,https://www.adb.org/projects/51425-002/main,,,,,,,
22-Dec-2022,52240-002,Supporting Renewable Energy Development,MON,Mongolia,East Asia,EARD,EASI,Sovereign,0.050,TRTA,Technical assistance,9941,ADB funds,Technical Assistance Special Fund,0.050,Energy,Energy,Dual-use,Medium,0.038,0.001,Technical assistance,USD,https://www.adb.org/projects/52240-002/main,,,,,,,
