Date Signed,Project Number,Project Name,Country Code,Developing Member Country,Region,Department,Operations Division,Category Type (Sovereign/Nonsovereign Financing),Project Financing Amount ($ million),Mode of Financial Assistance,Product Type,Loan/Grant/Investment/Approval Number,Project Financing Type,Fund Source,Signed amount ($ million),Primary Sector,Sector,Climate Change Response,Climate Change Impact on the Project,Mitigation Finance ($ million),Adaptation Finance ($ million),Type of Financing,Currency,Project URL,,,,
24-Nov-23,54172-002,Yerevan Urban Development Investment Project,ARM,Armenia,Central and West Asia,CWRD,CWUW,Sovereign,85.67,Investment Support,Loan,4371,ADB funds,OCR,65.426,Transport,Water and other urban infrastructure and services,Dual-use,Medium,5.82,4.32,Investment,US$,https://www.adb.org/projects/54172-002/main,,,,
22-Dec-23,54299-001,"Improving the Science, Technology, Engineering, and Mathematics Secondary Education Project",TAJ,Tajikistan,Central and West Asia,CWRD,CWSS,Sovereign,40,Investment Support,Grant,0926,ADB funds,ADF,40,Education,Education,Dual-use,Low,1.75,6.5,Investment,US$,https://www.adb.org/projects/54299-001/main,,,,
15-Dec-23,54424-001,Women Inclusive Finance Sector Development Program (Subprogram 1),PAK,Pakistan,Central and West Asia,CWRD,,Sovereign,155.5,Policy-Based Support,Loan,4427,ADB funds,OCR,100,Finance,Finance,Adaptation,Medium,,5,Investment,US$,https://www.adb.org/projects/54424-001/main,,,,
15-Dec-23,54424-001,Women Inclusive Finance Sector Development Program (Subprogram 1),PAK,Pakistan,Central and West Asia,CWRD,,Sovereign,,Investment Support,Loan,4428,ADB funds,Concessional OCR,50,Finance,Finance,Adaptation,Medium,,37.5,Investment,US$,https://www.adb.org/projects/54424-001/main,,,,
15-Dec-23,54424-001,Women Inclusive Finance Sector Development Program (Subprogram 1),PAK,Pakistan,Central and West Asia,CWRD,,Sovereign,,Investment Support,Grant,0933,ADB funds,ADF,5.5,Finance,Finance,Adaptation,Medium,,0.5,Investment,US$,https://www.adb.org/projects/54424-001/main,,,,
03-Apr-23,55101-001,Sherabad Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,431.2,Investment Support,Loan,4301,ADB funds,OCR,36.706,Energy,Energy,Mitigation,Low,36.706,,Investment,US$,https://www.adb.org/projects/55101-001/main,,,,
31-Mar-23,55101-001,Sherabad Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan cofinancing,BCLCF113,Commercial,B-loan,12.5,Energy,Energy,Mitigation,Low,12.5,,Investment,US$,https://www.adb.org/projects/55101-001/main,,,,
31-Mar-23,55135-001,Samarkand Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,202.2,Investment Support,Loan,4302,ADB funds,OCR,13.488,Energy,Energy,Mitigation,Low,13.488,,Investment,US$,https://www.adb.org/projects/55135-001/main,,,,
31-Mar-23,55135-001,Samarkand Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan cofinancing,BCLCF114,Commercial,B-loan,12.5,Energy,Energy,Mitigation,Low,12.5,,Investment,US$,https://www.adb.org/projects/55135-001/main,,,,
03-Apr-23,55136-001,Jizzakh Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,206.5,Investment Support,Loan,4303,ADB funds,OCR,14.308,Energy,Energy,Mitigation,Low,14.308,,Investment,US$,https://www.adb.org/projects/55136-001/main,,,,
31-Mar-23,55136-001,Jizzakh Solar Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan cofinancing,BCLCF112,Commercial,B-loan,12.5,Energy,Energy,Mitigation,Low,12.5,,Investment,US$,https://www.adb.org/projects/55136-001/main,,,,
15-Dec-23,55236-001,Developing Resilient Environments and Advancing Municipal Services in Punjab Project,PAK,Pakistan,Central and West Asia,CWRD,CWUW,Sovereign,226,Investment Support,Loan,4396,ADB funds,Concessional OCR,180,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,34.69,94.52,Investment,US$,https://www.adb.org/projects/55236-001/main,,,,
21-Dec-23,55236-001,Developing Resilient Environments and Advancing Municipal Services in Punjab Project,PAK,Pakistan,Central and West Asia,SG,CWUW,Sovereign,,TRTA,Technical assistance cofinancing,10198,Cofinancing (Full administration),Republic of Korea e-Asia and Knowledge Partnership Fund,1,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,,,Technical assistance,US$,https://www.adb.org/projects/55236-001/main,,,,
15-Dec-23,56006-001,"Improved Resource Mobilization and Utilization Reform Program, Subprogram 1",PAK,Pakistan,Central and West Asia,CWRD,,Sovereign,300,Policy-Based Support,Loan,4406,ADB funds,OCR,300,Public sector management,Public sector management,Dual-use,Medium,22.3,23.9,Investment,US$,https://www.adb.org/projects/56006-001/main,,,,
12-May-23,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,SG-AFNR,Sovereign,1,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,1,"Agriculture, natural resources and rural development",Public sector management,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/56025-001/main,,,,
12-May-23,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,SG-AFNR,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Water and other urban infrastructure and services,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/56025-001/main,,,,
12-May-23,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,SG-AFNR,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Health,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/56025-001/main,,,,
12-May-23,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,SG-AFNR,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Education,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/56025-001/main,,,,
12-May-23,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,SG-AFNR,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Transport,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/56025-001/main,,,,
12-May-23,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,SG-AFNR,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development",Energy,Dual-use,Low,0.05,0.05,Technical assistance,US$,https://www.adb.org/projects/56025-001/main,,,,
12-May-23,56025-001,Delivering a Climate Change Strategy for Central and West Asia,ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,CWRD,SG-AFNR,Sovereign,,KSTA,Technical assistance,6932,ADB funds,Technical Assistance Special Fund,,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Low,0.2,0.2,Technical assistance,US$,https://www.adb.org/projects/56025-001/main,,,,
14-Oct-23,56031-001,Strengthening Environmental Resilience and Fostering Sustainable Economy for Lake Sevan,ARM,Armenia,Central and West Asia,SG,SG-WUD,Sovereign,0.43,KSTA,Technical assistance cofinancing,10148,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),0.43,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,High,,0.25,Technical assistance,US$,https://www.adb.org/projects/56031-001/main,,,,
14-Oct-23,56031-001,Strengthening Environmental Resilience and Fostering Sustainable Economy for Lake Sevan,ARM,Armenia,Central and West Asia,SG,SG-WUD,Sovereign,,KSTA,Technical assistance cofinancing,10148,Cofinancing (Full administration),Climate Investment Funds (Strategic Climate Fund),,Water and other urban infrastructure and services,"Agriculture, natural resources and rural development",Dual-use,High,0.1,,Technical assistance,US$,https://www.adb.org/projects/56031-001/main,,,,
29-Mar-23,56085-001,Bash Wind Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,690.1,Investment Support,Loan,4293,ADB funds,OCR,46.308,Energy,Energy,Mitigation,Low,46.308,,Investment,US$,https://www.adb.org/projects/56085-001/main,,,,
29-Mar-23,56085-001,Bash Wind Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan cofinancing,8438,Cofinancing (Full administration),Leading Asia's Private Infrastructure Fund,46.308,Energy,Energy,Mitigation,Low,46.308,,Investment,US$,https://www.adb.org/projects/56085-001/main,,,,
29-Mar-23,56086-001,Dzhankeldy Wind Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,656.5,Investment Support,Loan,4294,ADB funds,OCR,40.449,Energy,Energy,Mitigation,Low,40.449,,Investment,US$,https://www.adb.org/projects/56086-001/main,,,,
29-Mar-23,56086-001,Dzhankeldy Wind Power Project,UZB,Uzbekistan,Central and West Asia,PSOD,PSIF1,Nonsovereign,,Investment Support,Loan cofinancing,8439,Cofinancing (Full administration),Leading Asia's Private Infrastructure Fund,40.449,Energy,Energy,Mitigation,Low,40.449,,Investment,US$,https://www.adb.org/projects/56086-001/main,,,,
24-Apr-23,56107-001,Tegeta Green Vehicles Bond Project,GEO,Georgia,Central and West Asia,PSOD,PSIF1,Nonsovereign,7.692,Investment Support,Loan,7781,ADB funds,OCR,7.952,Industry and Trade,Industry and trade,Mitigation,Low,7.952,,Investment,US$,https://www.adb.org/projects/56107-001/main,,,,
07-Jan-23,56115-001,Operation and Maintenance Sustainability of Water Supply and Sanitation Infrastructure,UZB,Uzbekistan,Central and West Asia,CWRD,CWUW,Sovereign,1,KSTA,Technical assistance,10072,ADB funds,Technical Assistance Special Fund,1,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Low,0.32,0.32,Technical assistance,US$,https://www.adb.org/projects/56115-001/main,,,,
17-Oct-23,56142-001,Strengthening the Water Supply and Sanitation Governance and Institutions,TAJ,Tajikistan,Central and West Asia,SG,SG-WUD,Sovereign,1,KSTA,Technical assistance,10147,ADB funds,Technical Assistance Special Fund,1,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Adaptation,Low,,0.3,Technical assistance,US$,https://www.adb.org/projects/56142-001/main,,,,
15-Dec-23,56151-001,Khyber Pakhtunkhwa Food Security Support Project,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,88,Investment Support,Loan,4412,ADB funds,Concessional OCR,82.046,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,7.74,35.71,Investment,US$,https://www.adb.org/projects/56151-001/main,,,,
15-Dec-23,56151-001,Khyber Pakhtunkhwa Food Security Support Project,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,,Investment Support,Grant cofinancing,9239,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,3,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,,1.5,Investment,US$,https://www.adb.org/projects/56151-001/main,,,,
09-Jun-23,56169-001,ALES Energy Transition and Modernization Project,KAZ,Kazakhstan,Central and West Asia,PSOD,PSIF1,Nonsovereign,866,Investment Support,Loan,4304,ADB funds,OCR,218.916,Energy,Energy,Mitigation,Low,141.24,,Investment,US$,https://www.adb.org/projects/56169-001/main,,,,
29-Dec-23,56231-001,Distribution Network Digital Transformation and Resiliency Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,352.45,Investment Support,Loan,4347,ADB funds,OCR,200,Energy,Energy,Dual-use,Medium,89.9,29.6,Investment,US$,https://www.adb.org/projects/56231-001/main,,,,
29-Dec-23,56231-001,Distribution Network Digital Transformation and Resiliency Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,,Investment Support,Loan cofinancing,8455,Cofinancing (Partial administration),Agence Française de Développement,75,Energy,Energy,Dual-use,Medium,34.4,11.3,Investment,US$,https://www.adb.org/projects/56231-001/main,,,,
17-Oct-23,56231-001,Preparing and Implementing Gender-Inclusive Projects in Central and West Asia – Enhancing Women’s Energy-Based Livelihoods (Subproject 11) [attached TA to Distribution Network Digital Transformation and Resiliency Project],UZB,Uzbekistan,Central and West Asia,CWRD,CWEN,Sovereign,,TRTA,Technical assistance,10149,ADB funds,Technical Assistance Special Fund,0.25,Energy,Energy,Dual-use,Medium,,,Technical assistance,US$,https://www.adb.org/projects/56231-001/main,,,,
12-May-23,56258-001,Indorama Climate-Resilient Farmer Livelihood and COVID-19 Recovery Project,UZB,Uzbekistan,Central and West Asia,PSOD,OPSD-AIT,Nonsovereign,17.3,Investment Support,Loan,4310,ADB funds,OCR,15,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,Low,,15,Investment,US$,https://www.adb.org/projects/56258-001/main,,,,
15-Dec-23,56306-001,Power Transmission Strengthening Project,PAK,Pakistan,Central and West Asia,CWRD,CWEN,Sovereign,456.65,Investment Support,Loan,4383,ADB funds,OCR,235,Energy,Energy,Dual-use,Medium,186.82,48.18,Investment,US$,https://www.adb.org/projects/56306-001/main,,,,
15-Dec-23,56306-001,Power Transmission Strengthening Project,PAK,Pakistan,Central and West Asia,CWRD,CWEN,Sovereign,,Investment Support,Loan,4382,ADB funds,Concessional OCR,15,Energy,Energy,Dual-use,Medium,,15,Investment,US$,https://www.adb.org/projects/56306-001/main,,,,
28-Feb-23,56312-002,Emergency Flood Assistance Project - Additional Financing,PAK,Pakistan,Central and West Asia,CWRD,CWER,Sovereign,5,Investment Support,Grant cofinancing,9234,Cofinancing (Full administration),Japan Fund for Prosperous and Resilient Asia and the Pacific,5,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Adaptation,High,,5,Investment,US$,https://www.adb.org/projects/56312-002/main,,,,
05-Sep-23,56342-001,Supporting Regional Actions to Address Climate Change under the Central Asia Regional Economic Cooperation Program,REG (Central and West Asia),Regional (Central and West Asia),Central and West Asia,CWRD,CWRC,Sovereign,0.75,KSTA,Technical assistance,10145,ADB funds,Technical Assistance Special Fund,0.75,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,High,0.375,0.375,Technical assistance,US$,https://www.adb.org/projects/56342-001/main,,,,
29-Dec-23,57004-001,Rural Roads Resilience Sector Project,UZB,Uzbekistan,Central and West Asia,CWRD,CWTC,Sovereign,298.75,Investment Support,Loan,4426,ADB funds,Concessional OCR,240,Transport,Transport,Adaptation,Medium,,52.8,Investment,US$,https://www.adb.org/projects/57004-001/main,,,,
04-Oct-23,57031-001,Expanding Essential Food Security and Health Services Project (Support for Afghan People),AFG,Afghanistan,Central and West Asia,CWRD,CWER/CWSS,Sovereign,400,Investment Support,Grant,0907,ADB funds,ADF,100,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,9.6,20.34,Investment,US$,https://www.adb.org/projects/57031-001/main,,,,
04-Oct-23,57031-001,Expanding Essential Food Security and Health Services Project,AFG,Afghanistan,Central and West Asia,CWRD,CWER/CWSS,Sovereign,,Investment Support,Grant,0908,ADB funds,ADF,200,"Agriculture, natural resources and rural development",Health,Dual-use,Medium,5,9,Investment,US$,https://www.adb.org/projects/57031-001/main,,,,
04-Oct-23,57031-001,Expanding Essential Food Security and Health Services Project,AFG,Afghanistan,Central and West Asia,CWRD,CWER/CWSS,Sovereign,,Investment Support,Grant,0909,ADB funds,ADF,100,"Agriculture, natural resources and rural development","Agriculture, natural resources and rural development",Dual-use,Medium,,19.06,Investment,US$,https://www.adb.org/projects/57031-001/main,,,,
06-Dec-23,57040-001,"GREEN (Growth, Resilience, Energy Efficiency, and Nature-Based) Solutions for Livable Cities",ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,SG,SG-WUD,Sovereign,4.5,KSTA,Technical assistance,10223,ADB funds,Technical Assistance Special Fund,4.5,Water and other urban infrastructure and services,Water and other urban infrastructure and services,Dual-use,Medium,0.1,0.46,Technical assistance,US$,https://www.adb.org/projects/57040-001/main,,,,
06-Dec-23,57040-001,"GREEN (Growth, Resilience, Energy Efficiency, and Nature-Based) Solutions for Livable Cities",ARM; AZE; GEO; KAZ; KGZ; PAK; TAJ; TKM; UZB; REG,Regional (Central and West Asia),Central and West Asia,SG,SG-WUD,Sovereign,,KSTA,Technical assistance,10223,ADB funds,Technical Assistance Special Fund,,Water and other urban infrastructure and services,Energy,Dual-use,Medium,0.05,,Technical assistance,US$,https://www.adb.org/projects/57040-001/main,,,,
